"","LATITUDE","LONGITUDE","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"293",34.179596,-118.538394,112570,"Columbia College-Hollywood","CA",0.5798,0.4202,0.4365,0.1889,0.2085,0.0326,0,0,0.0554,0.3945945946,0.0458715596,"Tarzana","91356-1411",2,0.7229,3,3,1,23192.5,35400,0.861959941238625,0.644902810541353,0.927224719572411,0.972606405287287,0.851673469159919
"294",33.876665,-118.209186,112686,"El Camino College-Compton Center","CA",0.3644,0.6356,0.0296,0.3515,0.5303,0.0459,0.0015,0.0067,0.0276,0.583488806,0.0569578758,"Compton","90221-5393",1,0,2,2,2,3873,34900,0.995304012216852,-0.0432474592472427,0.941824656143786,0.990360765893954,0.721060493751837
"295",37.968623,-122.342386,112826,"Contra Costa College","CA",0.4099,0.5901,0.1097,0.2248,0.3705,0.1894,0.0019,0.0064,0.0531,0.5679012346,0.1003917728,"San Pablo","94806-3195",1,0.0173,2,2,2,4900.5,36300,0.999403187258294,0.605052857683363,0.983294068136174,0.994159999292586,0.895477528092604
"296",38.453836,-121.422971,113096,"Cosumnes River College","CA",0.4338,0.5662,0.2532,0.1327,0.2358,0.2701,0.0055,0.0192,0.0591,0.5077508043,0.1345818815,"Sacramento","95823-5799",1,0.0483,2,2,2,5500,32100,0.994633305151783,0.590921895522499,0.998308187086847,0.999943027734096,0.895951603873806
"298",35.329859,-120.741624,113193,"Cuesta College","CA",0.4732,0.5268,0.6152,0.0127,0.2701,0.0323,0.0056,0.0017,0.0509,0.4402257568,0.1195700851,"San Luis Obispo","93403-8106",1,0.0514,2,2,2,6500,38700,0.976360203537827,0.426093754208477,0.993628406420068,0.989634601788377,0.846429241488687
"299",32.743072,-116.941044,113218,"Cuyamaca College","CA",0.4674,0.5326,0.4613,0.0579,0.3313,0.0605,0.0041,0.0049,0.0598,0.6077322018,0.2789757412,"El Cajon","92019",1,0.0114,2,2,2,3500,32600,0.979863561454133,0.823083846218727,0.890424810612552,0.982570050770668,0.91898556726402
"300",33.827625,-118.023889,113236,"Cypress College","CA",0.4412,0.5588,0.2058,0.0426,0.4404,0.2268,0.0024,0.0045,0.0357,0.5560231457,0.0822772078,"Cypress","90630-5897",1,0.0216,2,2,2,6000,37900,0.992189679983923,0.779072133667315,0.969045486103828,0.996419353788511,0.934181663385894
"301",37.319176,-122.045365,113333,"De Anza College","CA",0.5165,0.4835,0.2063,0.0334,0.2547,0.3497,0.0015,0.0038,0.0467,0.5218736191,0.0667011375,"Cupertino","95014",1,0.0415,2,2,2,5501,48800,0.941331995458653,0.24403838260904,0.953307753337545,0.999851965144273,0.784632524137378
"302",33.746002,-116.999892,113397,"Marinello Schools of Beauty-Hemet","CA",0.0359,0.9641,0.3774,0.1007,0.4405,0.0359,0.0105,0.0035,0.0053,0.5529237602,0.2047325103,"Hemet","92545",3,0.6842,1,1,3,7000,17400,0.452908120607084,0.886158605475363,0.980492050294501,0.996918432574114,0.829119302237765
"305",33.732484,-116.38761,113573,"College of the Desert","CA",0.4695,0.5305,0.2055,0.0299,0.6682,0.0312,0.0041,0.0019,0.0223,0.6317962836,0.0892401836,"Palm Desert","92260",1,0,2,2,2,4957,34600,0.978627535453258,0.698017602502047,0.975038229558319,0.972571622509828,0.906063747505863
"307",37.968035,-122.069861,113634,"Diablo Valley College","CA",0.4897,0.5103,0.3846,0.0542,0.2275,0.1531,0.0019,0.0043,0.0759,0.4582818294,0.1078104994,"Pleasant Hill","94523",1,0.0137,2,1,2,3933.5,44600,0.964857969080077,0.791844582346284,0.987871207810968,0.994131680945443,0.934676360045693
"308",37.980014,-122.514654,113698,"Dominican University of California","CA",0.2604,0.7396,0.3287,0.0401,0.2106,0.2023,0.0041,0.011,0.0449,0.328358209,0.0433333333,"San Rafael","94901-2298",2,0.6988,4,3,1,25000,58400,0.921038726655773,0.761955445716376,0.923652325777145,0.933449528887528,0.885024006759205
"310",34.039205,-118.148384,113856,"East Los Angeles College","CA",0.5204,0.4796,0.0709,0.0444,0.6459,0.1024,0.002,0.0019,0.0036,0.7045718714,0.0643953575,"Monterey Park","91754-6099",1,0.0137,2,1,2,5856,34600,0.93740869896922,0.628459471501654,0.950704151912305,0.928600247393386,0.861293142444141
"312",33.885586,-118.326623,113980,"El Camino Community College District","CA",0.4832,0.5168,0.1354,0.1539,0.4962,0.1302,0.0014,0.0049,0.0447,0.583488806,0.0569578758,"Torrance","90506",1,0,2,2,2,3873,34900,0.96966045562309,0.841264207672569,0.941824656143786,0.990360765893954,0.93577752133335
"313",34.062216,-118.338332,114044,"Elegance International","CA",0.1016,0.8984,0.2246,0.107,0.4947,0.0321,0.0107,0.0027,0.0909,0.5142857143,0.0689045936,"Hollywood","90028-6106",3,0.7744,1,1,3,6333,20600,0.633453628750299,0.828434820828436,0.955729812997924,0.999997520924264,0.854403945875231
"314",34.181902,-118.309749,114071,"Marinello Schools of Beauty-Burbank","CA",0.0352,0.9648,0.3474,0.1244,0.4742,0.0235,0.0047,0.0023,0.0235,0.5680147059,0.1629526462,"Burbank","91502",3,0.7196,1,1,3,9143,16900,0.450790497567988,0.888462933514086,0.99897666210144,0.994135764078042,0.833091464315389
"315",33.915981,-117.228072,114080,"Marinello Schools of Beauty-Moreno Valley","CA",0.0659,0.9341,0.2093,0.1628,0.5465,0.031,0.0155,0.0039,0.0155,0.5448916409,0.1291028446,"Moreno Valley","92553",3,0.7851,1,1,3,8026,17800,0.539819235044953,0.796540275037691,0.996947102349201,0.998037571124799,0.832836045889161
"317",38.467789,-122.728642,114123,"Empire College","CA",0.1971,0.8029,0.5255,0.0316,0.3796,0.0243,0.0122,0.0243,0.0024,0.5284552846,0.1782477341,"Santa Rosa","95403-2126",3,0.4458,2,1,2,13000,33000,0.831634935495312,0.625154897358509,0.994900554412925,0.999543975414866,0.862808590670403
"318",37.301736,-121.766686,114266,"Evergreen Valley College","CA",0.4668,0.5332,0.0796,0.0296,0.4057,0.3825,0.0042,0.0051,0.0269,0.638209266,0.1701524282,"San Jose","95135-1598",1,0.0153,2,2,2,6000,40000,0.980209950027786,-0.00551822354228504,0.997445102913491,0.969526206223501,0.735415758905623
"319",34.044209,-118.25993,114354,"Fashion Institute of Design & Merchandising-Los Angeles","CA",0.1038,0.8962,0.3533,0.0554,0.2253,0.1171,0.0035,0.0073,0.0306,0.3405762872,0.0307298335,"Los Angeles","90015-1421",3,0.5698,3,2,1,12000,41800,0.638875795987995,0.88446296679579,0.904646005003693,0.941958627863565,0.842485848912761
"320",37.786324,-122.406503,114390,"Fashion Institute of Design & Merchandising-San Francisco","CA",0.0778,0.9222,0.351,0.0342,0.2372,0.1935,0.0057,0.0228,0.0398,0.3405762872,0.0307298335,"San Francisco","94108-5805",3,0.6295,3,2,1,12000,41800,0.572212830576984,0.770789527080312,0.904646005003693,0.941958627863565,0.797401747631139
"321",33.691963,-117.852254,114415,"Fashion Institute of Design & Merchandising-Orange County","CA",0.0641,0.9359,0.4551,0.0192,0.2564,0.1154,0.0064,0.0256,0.0641,0.3405762872,0.0307298335,"Irvine","92614-5610",3,0.771,3,2,2,12000,41800,0.534816435164457,0.729788889055777,0.904646005003693,0.941958627863565,0.777802489271873
"322",39.952395,-120.970877,114433,"Feather River Community College District","CA",0.569,0.431,0.5554,0.1393,0.175,0.0298,0.0227,0.0123,0.0032,0.4647302905,0.0914076782,"Quincy","95971-9124",1,0.1681,2,2,2,6964,28900,0.877868691978729,0.452443271261672,0.976772240930056,0.99542981700726,0.825628505294429
"323",38.64883,-121.497761,114460,"Federico Beauty Institute","CA",0.1343,0.8657,0.4417,0.0707,0.3675,0.0565,0.0141,0.0071,0.0389,0.5117056856,0.1800486618,"Sacramento","95834",3,0.6612,1,1,3,6333,26200,0.709883915211053,0.868648223983965,0.994216090529329,0.999995890777841,0.893186030125547
"327",37.361104,-122.12833,114716,"Foothill College","CA",0.5154,0.4846,0.3394,0.0385,0.231,0.2253,0.0019,0.0068,0.0525,0.4874770922,0.1025024062,"Los Altos Hills","94022",1,0.0413,2,2,2,6500,57200,0.942415609832676,0.712164596410494,0.984670689161379,0.998714821252724,0.909491429164319
"330",36.767516,-119.795129,114789,"Fresno City College","CA",0.4812,0.5188,0.2341,0.0591,0.5094,0.1477,0.0057,0.0019,0.0262,0.5375017723,0.0932804083,"Fresno","93741",1,0.0227,2,2,2,3000,31000,0.97106718754986,0.917103265623882,0.978220178101849,0.998845134488127,0.966308941440929
"331",36.725279,-119.731953,114813,"Fresno Pacific University","CA",0.3121,0.6879,0.3681,0.0541,0.4184,0.0388,0.0104,0.0069,0.02,0.4746932515,0.2896379526,"Fresno","93702-4709",2,0.6761,4,3,1,16500,41300,0.969242983106306,0.907827607282757,0.871476565216143,0.997116827234082,0.936415995709822
"333",33.876794,-117.916986,114859,"Fullerton College","CA",0.4863,0.5137,0.2326,0.0312,0.5158,0.1368,0.0027,0.0035,0.0319,0.5630897169,0.0643766218,"Fullerton","92832-2095",1,0.0259,2,2,2,4750,37200,0.967414031833108,0.896936441745296,0.950682706953536,0.995141465712144,0.952543661561021
"334",36.973274,-121.568174,114938,"Gavilan College","CA",0.4857,0.5143,0.3054,0.0227,0.561,0.0524,0.0048,0.004,0.0185,0.6130811663,0.0906344411,"Gilroy","95020",1,0.017,2,2,2,5825,30800,0.967855084379128,0.845152200323901,0.976160807110542,0.980542679331583,0.942427692786288
"335",33.131313,-117.318765,114947,"Gemological Institute of America-Carlsbad","CA",0.4465,0.5535,0.3349,0.0186,0.0605,0.0884,0.0093,0,0.0372,0.2892561983,0.1029411765,"Carlsbad","92008",2,0.1995,1,1,3,8233,45100,0.990158571039681,0.632167053589486,0.984949438293682,0.902306985384088,0.877395512076734
"336",34.166422,-118.228251,115001,"Glendale Community College","CA",0.4476,0.5524,0.461,0.0246,0.3075,0.102,0.0013,9e-04,0.0282,0.580443828,0.1701707098,"Glendale","91208-2894",1,0.0161,2,2,2,5250,36000,0.989707635895443,0.796829153805963,0.997440337438692,0.991177358252371,0.943788621348117
"337",34.1497,-118.254231,115010,"Glendale Career College","CA",0.237,0.763,0.1792,0.0578,0.5578,0.1301,0,0.0029,0,0.5464480874,0.1896758703,"Glendale","91203",3,0.7213,1,1,2,9500,31100,0.89188598414772,0.831076365038949,0.989826317232793,0.997840348111463,0.927657253632731
"338",37.789208,-122.398785,115083,"Golden Gate University-San Francisco","CA",0.4751,0.5249,0.2697,0.1183,0.1618,0.1535,0.0041,0.0394,0.0394,0.4507772021,0.2663755459,"San Francisco","94105-2968",2,0.6695,4,3,1,20078,75900,0.975151487700991,0.728215492660319,0.910870072501044,0.992416873057939,0.901663481480073
"339",33.733775,-118.003036,115126,"Golden West College","CA",0.4721,0.5279,0.3108,0.0201,0.3143,0.2718,0.0031,0.0051,0.0447,0.5388757994,0.0939934657,"Huntington Beach","92647-2710",1,0.0236,2,1,2,4967.5,36600,0.977046212532319,0.613470693708785,0.978759244155902,0.998711089048515,0.89199680986138
"341",32.816077,-117.007292,115296,"Grossmont College","CA",0.444,0.556,0.411,0.0665,0.3254,0.0835,0.0026,0.0048,0.0647,0.5729029425,0.1735620585,"El Cajon","92020-1799",1,0.018,2,2,2,3500,37800,0.991145858571821,0.887474116308089,0.996479501319565,0.993044088640901,0.967035891210094
"343",36.673052,-121.668763,115393,"Hartnell College","CA",0.5162,0.4838,0.148,0.0207,0.6786,0.0444,0.0019,0.0035,0.0191,0.6756453423,0.0873330927,"Salinas","93901",1,0,2,2,2,4500,34600,0.941628528386726,0.641907783495856,0.973460925096407,0.948549557662159,0.876386698660287
"345",38.594382,-121.280086,115454,"Heald College-Rancho Cordova","CA",0.2799,0.7201,0.1827,0.1183,0.0913,0.0574,0.0117,0.0211,0.0211,0.5363278975,0.1818086665,"Rancho Cordova","95670",3,0.7882,2,2,2,9500,35900,0.941841005638039,0.680950304954195,0.993505548291694,0.998953825289702,0.903812671043407
"346",36.822401,-119.795525,115472,"Heald College-Fresno","CA",0.2959,0.7041,0.1322,0.0776,0.6018,0.0669,0.0092,0.0031,0.0054,0.5363278975,0.1818086665,"Fresno","93704",3,0.7873,2,2,2,9500,31700,0.956538769033184,0.774856222232745,0.993505548291694,0.998953825289702,0.930963591211831
"347",37.410897,-121.893911,115490,"Heald College-San Jose","CA",0.3421,0.6579,0.0622,0.0255,0.299,0.1292,0.0064,0.0104,0.0287,0.5363278975,0.1818086665,"Milpitas","95035-8008",3,0.7657,2,2,2,9500,43800,0.986984284930343,0.749061907687459,0.993505548291694,0.998953825289702,0.932126391549799
"348",37.782001,-122.404246,115515,"Heald College-San Francisco","CA",0.3583,0.6417,0.1176,0.1805,0.2941,0.262,0.0107,0.0495,0.0321,0.5363278975,0.1818086665,"San Francisco","94103",3,0.7248,2,2,2,9500,38900,0.99344067682718,0.354364364877568,0.993505548291694,0.998953825289702,0.835066103821536
"349",38.018938,-122.030047,115533,"Heald College-Concord","CA",0.2829,0.7171,0.2179,0.1797,0.2472,0.0911,0.0081,0.0301,0.052,0.5363278975,0.1818086665,"Concord","94520-0522",3,0.7795,2,2,2,9500,41900,0.944759618237695,0.792759511389358,0.993505548291694,0.998953825289702,0.932494625802112
"351",37.802654,-122.18717,115728,"Holy Names University","CA",0.3739,0.6261,0.2087,0.2,0.3058,0.1478,0.0072,0.0391,0.0261,0.4489795918,0.076142132,"Oakland","94619-1699",2,0.8333,4,3,1,20250,53300,0.997587356528001,0.714298857901351,0.963231489265705,0.991973532899568,0.916772809148656
"353",40.8741,-124.0814,115755,"Humboldt State University","CA",0.4588,0.5412,0.4738,0.0391,0.2977,0.0347,0.01,0.0026,0.0637,0.4477713508,0.0342465753,"Arcata","95521-8299",1,0.5625,4,3,1,14200,38600,0.984541300264714,0.738032105521097,0.910161592701708,0.991668470085259,0.906100867143194
"354",38.011051,-121.316401,115773,"Humphreys College-Stockton and Modesto Campuses","CA",0.2853,0.7147,0.2204,0.1378,0.3857,0.0583,0.0032,0.0065,0,0.537037037,0.21875,"Stockton","95207-3896",2,0.769,4,3,1,21146,32600,0.947040414618924,0.90843909262055,0.969094782751448,0.998888807239773,0.955865774307674
"356",37.368642,-121.969541,115931,"Institute for Business and Technology","CA",0.6429,0.3571,0.2041,0.0357,0.5102,0.1429,0.0051,0,0.0153,0.5281030445,0.2249408051,"Santa Clara","95051-1303",3,0.4866,1,1,3,7600,37100,0.749548337028726,0.873005768409951,0.963230153885482,0.999564734509099,0.896337248458315
"357",33.641393,-117.865722,116226,"Interior Designers Institute","CA",0.069,0.931,0.6601,0.0148,0.1527,0.1084,0.0049,0,0.0246,0.3802816901,0.2345679012,"Newport Beach","92660",3,0.4068,4,2,1,23500,41800,0.548371766684808,0.24600055735891,0.953098726514023,0.965593304776748,0.678266088833622
"359",33.675079,-117.778575,116439,"Irvine Valley College","CA",0.5013,0.4987,0.3486,0.0219,0.2471,0.2476,7e-04,0.002,0.0486,0.445324097,0.110974611,"Irvine","92618-0301",1,0.014,2,1,2,6000,41100,0.955411026404202,0.632117263665359,0.989600939852975,0.991033141952058,0.892040592968649
"360",32.66182,-117.106121,116466,"ITT Technical Institute-National City","CA",0.7868,0.2132,0.2482,0.1742,0.3243,0.1522,0.015,0.009,0.043,0.4972857507,0.2337406569,"National City","91950",3,0.5434,3,2,1,13566,42800,0.368863765077091,0.865471207516661,0.954017663877175,0.999509074179081,0.796965427662502
"361",34.102405,-117.818401,116475,"ITT Technical Institute-San Dimas","CA",0.7677,0.2323,0.2069,0.0544,0.5789,0.0853,0.0018,0.0018,0.0254,0.4972857507,0.2337406569,"San Dimas","91773",3,0.8052,3,2,1,13566,42800,0.429341666653302,0.870040378354894,0.954017663877175,0.999509074179081,0.813227195766113
"362",33.77999,-117.896171,116484,"ITT Technical Institute-Orange","CA",0.8008,0.1992,0.2912,0.0536,0.4777,0.1188,0.0102,0.0013,0.0255,0.4972857507,0.2337406569,"Orange","92868",3,0.7959,3,2,1,13566,42800,0.322600229503464,0.951070639165613,0.954017663877175,0.999509074179081,0.806799401681333
"363",32.794827,-116.945728,116563,"Bellus Academy-El Cajon","CA",0.0414,0.9586,0.5103,0.0621,0.2966,0,0.0069,0.0207,0.0966,0.4824120603,0.2291666667,"El Cajon","92021",3,0.5812,1,1,2,7917,25000,0.469404257472571,0.559749331164306,0.958934532737368,0.998157873859351,0.746561498808399
"364",37.881794,-122.183972,116712,"John F. Kennedy University","CA",0.3108,0.6892,0.3665,0.1554,0.259,0.0837,0.0159,0.012,0.0359,0.5486725664,0.3333333333,"Pleasant Hill","94523-4817",2,0.9319,4,3,1,20832,52100,0.968304357512465,0.861027882923297,0.778046122260863,0.9975420863943,0.901230112272732
"366",36.605968,-119.45993,117052,"Reedley College","CA",0.4224,0.5776,0.2953,0.0256,0.566,0.0704,0.0043,0.0014,0.0275,0.5276170437,0.0898600076,"Reedley","93654",1,0.0153,2,2,2,3500,29100,0.997503259293258,0.8630276434266,0.975540465494341,0.999592582843285,0.958915987764371
"367",34.089421,-117.830997,117104,"Life Pacific College","CA",0.4656,0.5344,0.5365,0.0397,0.2902,0.0543,0.0021,0.0188,0.0355,0.385665529,0.0536277603,"San Dimas","91773-3298",2,0.5927,4,3,1,15245,33500,0.980893711558674,0.670515307450046,0.93761069192245,0.96832498212248,0.889336173263413
"368",32.778278,-117.155395,117113,"Argosy University-The Art Institute of California-San Diego","CA",0.5435,0.4565,0.0092,0.0037,0.3452,0.0061,0.0012,0.0012,0,0.5099347495,0.1975711015,"San Diego","92108-4423",3,0.6426,3,3,1,10000,41300,0.911567452830148,0.514087036412989,0.985307305289883,0.999979756421547,0.852735387738642
"369",34.10086,-117.772634,117140,"University of La Verne","CA",0.4267,0.5733,0.2389,0.065,0.4812,0.0526,0.0037,0.0047,0.0319,0.4738821563,0.2078389069,"La Verne","91750-4401",2,0.6662,4,3,1,21012.5,54100,0.996548161790928,0.943879699456184,0.978191467008672,0.996993951348614,0.9789033199011
"372",34.695646,-118.148664,117238,"Lancaster Beauty School","CA",0.2581,0.7419,0.2097,0.2742,0.5081,0.0081,0,0,0,0.497005988,0.1581395349,"Lancaster","93534",3,0.697,1,1,3,6940.5,19600,0.91837584534945,0.450512925074615,0.999616443645289,0.999491615436427,0.841999207376445
"373",37.796205,-122.262434,117247,"Laney College","CA",0.4547,0.5453,0.174,0.2471,0.1943,0.2618,0.0028,0.0046,0.0535,0.567251462,0.1722689076,"Oakland","94607",1,0.0191,2,2,2,7500,33700,0.986554050256326,0.307827858242389,0.99686390012517,0.994297811368788,0.821385904998168
"374",40.431327,-120.631169,117274,"Lassen Community College","CA",0.7577,0.2423,0.4134,0.2025,0.2292,0.0367,0.024,0.017,0.0284,0.4897494305,0.1141804788,"Susanville","96130",1,0.0386,2,2,2,5500,32500,0.459790885589805,0.631621885414538,0.991217845840303,0.998932195040822,0.770390702971367
"378",33.908834,-117.497071,117627,"La Sierra University","CA",0.4202,0.5798,0.148,0.0735,0.4323,0.1543,0.0029,0.0185,0.0385,0.3965341488,0.0294882914,"Riverside","92515-8247",2,0.695,4,3,1,14500,46000,0.997932227109542,0.891149135899767,0.90265955255204,0.973495328148863,0.941309060927553
"379",34.050975,-117.261086,117636,"Loma Linda University","CA",0.2945,0.7055,0.3523,0.0395,0.2936,0.2397,0.001,0.0038,0.0452,0.3554817276,0.1476407915,"Loma Linda","92350",2,0.6754,4,3,1,19500,85800,0.955338029180342,0.711651298974218,0.999944134684179,0.951551456918913,0.904621229939413
"380",33.831741,-118.135819,117645,"Long Beach City College","CA",0.4551,0.5449,0.1496,0.1333,0.5403,0.1133,0.0022,0.0072,0.0423,0.5653074434,0.058316885,"Long Beach","90808-1706",1,0.0408,2,1,2,4500,32100,0.986363861770289,0.863879284332012,0.94350202996308,0.994700297500643,0.947111368391506
"382",33.784201,-118.28186,117690,"Los Angeles Harbor College","CA",0.4061,0.5939,0.1346,0.1124,0.5751,0.1064,0.0017,0.0087,0.0327,0.5853444493,0.0708215297,"Wilmington","90744-2397",1,0.0126,2,2,2,3500,35600,0.999722234211143,0.837825607481528,0.957784459484725,0.989845404207412,0.946294426346202
"383",34.184184,-118.577194,117706,"Los Angeles Pierce College","CA",0.4607,0.5393,0.2899,0.059,0.4616,0.1106,0.002,0.0015,0.0314,0.5508091833,0.112670068,"Woodland Hills","91371-0002",1,0.0521,2,2,2,9500,38100,0.98356098004375,0.966044405514841,0.990473068553259,0.997237447229097,0.984328975335237
"384",33.929586,-118.304674,117715,"Los Angeles Southwest College","CA",0.302,0.698,0.0177,0.5742,0.3277,0.02,0.002,0.0025,0.025,0.5869660942,0.0673846154,"Los Angeles","90047-4899",1,0.0315,2,2,2,3500,30200,0.961579608341917,-1.88709185552799,0.954065939600998,0.989384041444527,0.254484433464863
"385",34.032623,-118.269113,117724,"Los Angeles Trade Technical College","CA",0.5403,0.4597,0.0637,0.2133,0.6047,0.0472,0.0027,0.0023,0.0202,0.6194180351,0.08125,"Los Angeles","90015-4181",1,0.049,2,1,2,4500,31400,0.915412986283453,0.522472456697415,0.968106890475075,0.97799656543793,0.845997224723468
"386",34.176406,-118.421446,117733,"Los Angeles Valley College","CA",0.4346,0.5654,0.3012,0.0544,0.4924,0.0797,0.0017,0.0016,0.0213,0.5727190605,0.1509751177,"Valley Glen","91401-4096",1,0.0372,2,1,2,6750,36700,0.994391167631421,0.940968444284503,0.999998746931618,0.993086840195852,0.982111299760849
"387",34.38214,-118.517422,117751,"The Master's College and Seminary","CA",0.5474,0.4526,0.6184,0.0313,0.1041,0.0635,0.0025,0.0051,0.0643,0.2224576271,0.0824949698,"Santa Clarita","91321-1200",2,0.5171,4,3,1,16500,47800,0.906765133740155,0.289089985765932,0.969242661957699,0.835320447769636,0.750104557308355
"388",34.087301,-118.292169,117788,"Los Angeles City College","CA",0.4392,0.5608,0.1866,0.1018,0.5017,0.1328,0.0025,0.0014,0.0228,0.5674664319,0.130143249,"Los Angeles","90029",1,0.0505,2,1,2,7500,31900,0.99289519730056,0.91543882972106,0.997236232156333,0.994252399951085,0.97495566478226
"389",34.061605,-118.211418,117803,"Los Angeles County College of Nursing and Allied Health","CA",0.2157,0.7843,0.2206,0.049,0.3873,0.3333,0.0049,0,0.0049,0.5084745763,0.2537313433,"Los Angeles","90033-1084",1,0.3622,2,2,2,10500,83300,0.861375504817176,0.373027419954901,0.929266417113926,0.999957259301096,0.790906650296775
"390",34.314944,-118.419087,117867,"Los Angeles Mission College","CA",0.3953,0.6047,0.1115,0.0318,0.7599,0.0527,0.0015,7e-04,0.01,0.7049486461,0.1417541692,"Sylmar","91342-3200",1,0.0308,2,2,2,8000,32200,0.999970859236663,0.4801855840706,0.999487150578978,0.92831888773672,0.85199062040574
"391",38.005552,-121.861122,117894,"Los Medanos College","CA",0.4681,0.5319,0.2854,0.154,0.3705,0.0924,0.0012,0.0063,0.0735,0.5244969379,0.1047819972,"Pittsburg","94565",1,0.0077,2,2,2,3500,40900,0.979455643205734,0.91086763585023,0.986091029848798,0.999749442165763,0.969040937767631
"392",37.803958,-122.417185,117928,"Argosy University-The Art Institute of California-San Francisco","CA",0.5361,0.4639,0.1473,0.0703,0.2947,0.0922,0.0029,0.0133,0.076,0.5099347495,0.1975711015,"San Francisco","94102-4908",3,0.8221,4,3,1,10000,41300,0.920330524238042,0.859558817517902,0.985307305289883,0.999979756421547,0.941294100866844
"393",33.970633,-118.415655,117946,"Loyola Marymount University","CA",0.426,0.574,0.4672,0.0579,0.2192,0.107,0.002,0.001,0.0768,0.1998933902,0.0191628845,"Los Angeles","90045-2659",2,0.4535,4,3,1,19500,64400,0.996714160998831,0.722465576268963,0.885345662765644,0.808763314272472,0.853322178576478
"397",36.836251,-119.773747,118143,"Lyles Fresno College of Beauty","CA",0.098,0.902,0.3529,0.0588,0.451,0.0392,0,0.0196,0.0784,0.6134453782,0.2147239264,"Fresno","93710",3,0.4239,1,1,3,6857,19000,0.624493840493562,0.860152421195317,0.972635492850088,0.980400580360198,0.859420583724791
"398",38.508581,-122.758546,118161,"Lytles Redwood Empire Beauty College Inc","CA",0.053,0.947,0.7197,0.0303,0.1818,0.0227,0.0152,0,0,0.4661654135,0.1503267974,"Santa Rosa","95403",3,0.5971,1,1,3,8255,22600,0.503368175663153,0.0246576976750332,0.999999695802485,0.995696673179303,0.630930560579994
"399",38.007318,-121.308527,118189,"MTI Business College Inc","CA",0.0274,0.9726,0.2397,0.5137,0.1438,0.0479,0.0342,0.0205,0,0.4876033058,0.1122994652,"Stockton","95207-4349",3,1,1,1,3,9500,25800,0.426917397223699,-1.32070969631344,0.990285695155372,0.998727422801139,0.273805204716693
"400",38.661377,-121.342568,118198,"MTI College","CA",0.2775,0.7225,0.5108,0.099,0.2039,0.0873,0.0049,0.0029,0.0539,0.467230444,0.2420168067,"Sacramento","95841-9817",3,0.3483,2,1,2,8263.5,36800,0.939452021859818,0.695361241713872,0.944414660601187,0.995889522997921,0.8937793617932
"401",38.644462,-121.380453,118259,"Brightwood College-Sacramento","CA",0.1408,0.8592,0.2347,0.1854,0.4014,0.0962,0.0117,0.0164,0,0.6404833837,0.169198895,"Sacramento","95821",3,0.6537,2,1,2,9334,28400,0.724012970972685,0.850401099990133,0.997687505415541,0.968407768519854,0.885127336224553
"402",32.821707,-117.133017,118277,"Brightwood College-San Diego","CA",0.2444,0.7556,0.2856,0.0996,0.3245,0.2086,0.0093,0.0233,0,0.487704918,0.2664092664,"San Diego","92123",3,0.5589,2,1,2,9476.5,39000,0.901599416849252,0.805945351371336,0.910818171959791,0.998737522958609,0.904275115784747
"403",33.17244,-117.220816,118286,"Brightwood College-Vista","CA",0.2699,0.7301,0.3458,0.107,0.403,0.0659,0.0162,0.0348,0,0.5644937587,0.2474934037,"Vista","92083-7736",3,0.5444,2,1,2,8630,32100,0.931569690428962,0.85281890862462,0.937559723691536,0.99486438859393,0.929203177834762
"404",37.955014,-122.549936,118347,"College of Marin","CA",0.412,0.588,0.5385,0.0682,0.2305,0.0699,0.0024,0.0024,0.0517,0.4647177419,0.090541633,"Kentfield","94904-2590",1,0.0925,2,2,2,10062.5,39100,0.999175157259485,0.657404269472672,0.976086885600486,0.995427448237464,0.907023440142527
"405",34.027512,-118.219865,118356,"Marinello Schools of Beauty-Los Angeles","CA",0.1282,0.8718,0.2072,0.1765,0.5378,0.0311,0.0065,0.0017,0.0047,0.5654697135,0.1575203252,"Los Angeles","90023",3,0.7236,1,1,3,8555,18500,0.696303534119848,0.772894663933619,0.999676407516188,0.994667264811748,0.865885467595351
"406",33.73463,-118.333404,118541,"Marymount California University","CA",0.4641,0.5359,0.1934,0.082,0.3517,0.0387,0.0028,0.0083,0.0304,0.4276923077,0.0305343511,"Rancho Palos Verdes","90275-6299",2,0.5702,3,3,1,12524,39200,0.981731509191505,0.92819611538012,0.904334593855547,0.985765874148815,0.950007023143997
"407",39.19119,-123.22903,118684,"Mendocino College","CA",0.3792,0.6208,0.6074,0.0327,0.2504,0.026,0.0508,0.0067,0.0146,0.5420168067,0.131897712,"Ukiah","95482",1,0.0558,2,2,2,7000,29200,0.998533821861001,0.139084055820557,0.99769122731628,0.998377026746269,0.783421532936027
