"","LATITUDE","LONGITUDE","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","GENDER_DIV","RACE_DIV","MARITAL_STATUS_DIV","FIRST_GEN_DIV","DIV_SCORE"
"220",39.649116,-121.644691,110246,"Butte College","CA",0.4764,0.5236,0.6006,0.0257,0.1916,0.0547,0.017,0.0046,0.021,0.5041250543,0.1058274252,"Oroville","95965-8399",1,0.1223,2,1,2,7911,35800,0.974307108192709,0.425788600759841,0.98671931226465,0.999841002589374,0.846664005951644
"223",36.9891,-121.927926,110334,"Cabrillo College","CA",0.482,0.518,0.5089,0.0127,0.3677,0.0333,0.0045,0.002,0.0471,0.4946703514,0.0829548895,"Aptos","95003",1,0.0317,2,2,2,8000,40500,0.970508501719781,0.685790235020511,0.969657032719489,0.999333954786925,0.906322431061677
"224",33.928569,-117.42587,110361,"California Baptist University","CA",0.3672,0.6328,0.4068,0.0774,0.3225,0.048,0.0065,0.0106,0.0514,0.4110840438,0.132455669,"Riverside","92504-3297",2,0.7711,4,3,1,20000,43800,0.996055300206691,0.891759083438642,0.997827354931331,0.979696197852729,0.966334484107348
"225",37.76723,-122.399941,110370,"California College of the Arts","CA",0.381,0.619,0.2917,0.039,0.1349,0.162,0.0033,0.0119,0,0.247826087,0.0404040404,"San Francisco","94107-2247",2,0.5273,4,3,1,22549,45500,0.998801920520363,0.716444255317325,0.919423140814528,0.862808430894254,0.874369436886618
"228",34.225551,-118.879467,110413,"California Lutheran University","CA",0.4437,0.5563,0.5098,0.0432,0.2547,0.0657,0.0114,0.0057,0.0272,0.304099142,0.045178106,"Thousand Oaks","91360-2787",2,0.5765,4,3,1,19000,55500,0.991260827002627,0.711426674272255,0.926257225058587,0.914830238493663,0.885943741206783
"229",35.29889,-120.65856,110422,"California Polytechnic State University-San Luis Obispo","CA",0.5409,0.4591,0.5872,0.007,0.1516,0.1185,0.0016,0.002,0.0703,0.2634491919,0.0111754967,"San Luis Obispo","93407",1,0.3391,4,3,1,16500,67400,0.914698460039481,0.381107781924172,0.870980579867343,0.878488849658213,0.761318917872302
"230",32.897056,-117.094398,110468,"Alliant International University-San Diego","CA",0.411,0.589,0.2161,0.1102,0.3263,0.0212,0,0,0.0254,0.3795712484,0.1822222222,"San Diego","92131",2,0.1592,4,1,1,3000,60600,0.999288334259341,0.889130778530185,0.993332618135149,0.96522440031523,0.961744032809976
"231",35.350005,-119.104711,110486,"California State University-Bakersfield","CA",0.3892,0.6108,0.1835,0.0638,0.5186,0.0678,0.006,7e-04,0.028,0.5885152284,0.0802683897,"Bakersfield","93311-1099",1,0.4069,4,3,1,11000,47700,0.999680999345371,0.903157627383561,0.967196860254669,0.988933736159248,0.964742305785712
"232",37.52577,-120.852511,110495,"California State University-Stanislaus","CA",0.3582,0.6418,0.2585,0.0246,0.475,0.1121,0.0043,0.0073,0.0363,0.5922123894,0.0760466349,"Turlock","95382-0299",1,0.3966,4,3,1,12750,45100,0.993407542529559,0.93202104013785,0.963137037574867,0.987821240230108,0.969096715118096
"233",34.182987,-117.322508,110510,"California State University-San Bernardino","CA",0.3876,0.6124,0.1588,0.0653,0.5831,0.0605,0.0016,0.0024,0.0259,0.6048401343,0.062838119,"San Bernardino","92407-2397",1,0.4476,4,3,1,14657.5,46100,0.999553548116682,0.828685220956418,0.948905815634631,0.983619760921035,0.940191086407192
"234",34.054273,-117.819019,110529,"California State Polytechnic University-Pomona","CA",0.563,0.437,0.2023,0.0329,0.3864,0.2459,0.0019,0.0024,0.0397,0.4800781837,0.0386630082,"Pomona","91768",1,0.3963,4,3,1,15000,54400,0.886286158068262,0.712986411477287,0.916855501500177,0.997867591669312,0.87849891567876
"235",39.728003,-121.846333,110538,"California State University-Chico","CA",0.4785,0.5215,0.4917,0.0213,0.2627,0.0592,0.0057,0.0015,0.0497,0.4521233974,0.0617220801,"Chico","95929-0150",1,0.459,4,3,1,14500,50300,0.972913308904555,0.70891536525178,0.947597168784991,0.992740634538097,0.905541619369856
"236",33.86524,-118.259316,110547,"California State University-Dominguez Hills","CA",0.363,0.637,0.0835,0.1472,0.5732,0.0956,0.0018,0.0034,0.0274,0.5768188451,0.0816264139,"Carson","90747-0005",1,0.3827,4,3,1,13250,45400,0.994903825710578,0.742827433617039,0.968452460249294,0.992102377377282,0.924571524238548
"237",36.814477,-119.748258,110556,"California State University-Fresno","CA",0.4276,0.5724,0.231,0.0353,0.4541,0.1518,0.0032,0.0024,0.0303,0.5243882936,0.0579097658,"Fresno","93740",1,0.3316,4,3,1,13000,46600,0.996328723826966,0.913188080856211,0.943002112353717,0.999754220537074,0.963068284393492
"238",33.883627,-117.885349,110565,"California State University-Fullerton","CA",0.4472,0.5528,0.2397,0.0205,0.3857,0.2158,0.0018,0.0021,0.0423,0.4875980496,0.0593089221,"Fullerton","92831-3599",1,0.3308,4,3,1,12500,49000,0.989872781002546,0.790176944179076,0.944710970976904,0.998726899245147,0.930871898850918
"239",37.65707,-122.058073,110574,"California State University-East Bay","CA",0.3782,0.6218,0.1725,0.1088,0.2831,0.2378,0.0019,0.0108,0.056,0.50269179,0.0795760733,"Hayward","94542",1,0.3865,4,3,1,12500,55000,0.998373191251186,0.713003942478898,0.966547330153064,0.999786541929709,0.919427751453214
"240",33.782752,-118.1123,110583,"California State University-Long Beach","CA",0.4361,0.5639,0.1998,0.038,0.3791,0.2318,0.005,0.0039,0.0458,0.4808894354,0.042041292,"Long Beach","90840-0115",1,0.3907,4,3,1,13750,50400,0.993922759837857,0.760017355205313,0.921800985044848,0.997970900404387,0.918428000123101
"241",34.066927,-118.168965,110592,"California State University-Los Angeles","CA",0.4153,0.5847,0.0757,0.0423,0.6083,0.1581,0.001,0.0024,0.0173,0.6319205298,0.0513557536,"Los Angeles","90032",1,0.3605,4,3,1,11402,46100,0.998742445568782,0.659661657319977,0.934651121131988,0.972514142736383,0.891392341689282
"242",34.23671,-118.526817,110608,"California State University-Northridge","CA",0.4587,0.5413,0.2446,0.0566,0.4181,0.1125,0.0015,0.0021,0.0331,0.5370760037,0.0419749853,"Northridge","91330",1,0.3438,4,3,1,11509,47100,0.984592061286519,0.969943584258436,0.921705377176581,0.998885177737662,0.9687815501148
"243",38.55745,-121.42194,110617,"California State University-Sacramento","CA",0.4366,0.5634,0.3028,0.0567,0.276,0.2112,0.0041,0.0091,0.0628,0.4887604367,0.0762653899,"Sacramento","95819-2694",1,0.3994,4,3,1,13479,49900,0.99376245001018,0.798728517289004,0.963353218748894,0.998840060415923,0.938671061616
"244",37.871969,-122.260423,110635,"University of California-Berkeley","CA",0.4788,0.5212,0.2758,0.0209,0.1384,0.3509,0.0016,0.0027,0.0471,0.3648559126,0.0253479853,"Berkeley","94720",1,0.2698,4,3,1,13597,74000,0.972711189515061,0.119630733902372,0.895887096157078,0.957140954334668,0.736342493477295
"245",38.539895,-121.751958,110644,"University of California-Davis","CA",0.4238,0.5762,0.2967,0.0209,0.1834,0.342,0.0017,0.0049,0.0539,0.4136546185,0.0246010638,"Davis","95616-8678",1,0.4191,4,3,1,12999,66000,0.9972092433355,0.214258248556708,0.894641079795448,0.98070596256381,0.771703633562867
"246",33.648434,-117.841248,110653,"University of California-Irvine","CA",0.461,0.539,0.1607,0.0178,0.2399,0.4071,5e-04,0.0041,0.041,0.4675324675,0.0148425108,"Irvine","92697",1,0.4349,4,3,1,15000,60600,0.983403437868757,-0.145139235439286,0.877680836991556,0.995943407147407,0.677972111642108
"247",34.068892,-118.443901,110662,"University of California-Los Angeles","CA",0.4432,0.5568,0.2784,0.0279,0.1964,0.2997,0.0014,0.0032,0.0476,0.3685678427,0.0178357673,"Los Angeles","90095-1405",1,0.3626,4,3,1,15000,72600,0.991450771495375,0.432450856333765,0.883017596085291,0.959259589447223,0.816544703340414
"248",33.97588,-117.331098,110671,"University of California-Riverside","CA",0.4831,0.5169,0.1384,0.0453,0.3616,0.3595,0.0018,0.0037,0.0382,0.4472586873,0.0146755922,"Riverside","92521",1,0.5538,4,3,1,17000,51100,0.969731585259761,0.20657315902042,0.87737972926194,0.991537310958429,0.761305446125137
