"","UNITID","INSTNM","STABBR","UGDS_MEN","UGDS_WOMEN","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","FIRST_GEN","MARRIED","CITY","ZIP","CONTROL","PCTFLOAN","HIGHDEG","PREDDEG","ICLEVEL","DEBT_MDN","MN_EARN_WNE_P10","C100_4"
"9",110486,"California State University-Bakersfield","CA",0.3892,0.6108,0.1835,0.0638,0.5186,0.0678,0.006,7e-04,0.028,0.5885152284,0.0802683897,"Bakersfield","93311-1099",1,0.4069,4,3,1,11000,47700,0.1598
"19",110592,"California State University-Los Angeles","CA",0.4153,0.5847,0.0757,0.0423,0.6083,0.1581,0.001,0.0024,0.0173,0.6319205298,0.0513557536,"Los Angeles","90032",1,0.3605,4,3,1,11402,46100,0.0626
"86",381909,"ITT Technical Institute-San Bernardino","CA",0.7507,0.2493,0.2143,0.1545,0.4913,0.0481,0.0087,0,0.0583,0.4972857507,0.2337406569,"San Bernardino","92408",3,0.8699,3,2,1,13566,42800,0.0714
"94",437219,"ITT Technical Institute-Lathrop","CA",0.7516,0.2484,0.3376,0.0807,0.3567,0.1189,0.017,0,0.0573,0.4972857507,0.2337406569,"Lathrop","95330",3,0.7927,3,2,1,13566,42800,0.375
"12",110529,"California State Polytechnic University-Pomona","CA",0.563,0.437,0.2023,0.0329,0.3864,0.2459,0.0019,0.0024,0.0397,0.4800781837,0.0386630082,"Pomona","91768",1,0.3963,4,3,1,15000,54400,0.1178
"47",117113,"Argosy University-The Art Institute of California-San Diego","CA",0.5435,0.4565,0.0092,0.0037,0.3452,0.0061,0.0012,0.0012,0,0.5099347495,0.1975711015,"San Diego","92108-4423",3,0.6426,3,3,1,10000,41300,0.4696
"1",108232,"Academy of Art University","CA",0.4342,0.5658,0.2392,0.0685,0.1141,0.0804,0.0051,0.0058,0.0249,0.3810349096,0.1439344969,"San Francisco","94105",3,0.5524,4,3,1,14750,44900,0.0497
"5",110361,"California Baptist University","CA",0.3672,0.6328,0.4068,0.0774,0.3225,0.048,0.0065,0.0106,0.0514,0.4110840438,0.132455669,"Riverside","92504-3297",2,0.7711,4,3,1,20000,43800,0.4005
"60",120537,"Hope International University","CA",0.4498,0.5502,0.3799,0.0564,0.201,0.0282,0.0049,0.0098,0.1103,0.4351464435,0.152293578,"Fullerton","92831-3199",2,0.7351,4,3,1,17750,41100,0.2874
"32",112075,"Concordia University-Irvine","CA",0.3646,0.6354,0.4628,0.0324,0.1783,0.0626,0.0042,0.0048,0.0387,0.3009367681,0.0493697479,"Irvine","92612-3203",2,0.6581,4,3,1,17750,47700,0.4724
"55",119270,"Musicians Institute","CA",0.7962,0.2038,0.2939,0.0657,0.138,0.031,0.0103,0.0038,0.0601,0.3727034121,0.0494699647,"Hollywood","90028",3,0.4381,3,1,1,6334,32200,0.5
"23",110644,"University of California-Davis","CA",0.4238,0.5762,0.2967,0.0209,0.1834,0.342,0.0017,0.0049,0.0539,0.4136546185,0.0246010638,"Davis","95616-8678",1,0.4191,4,3,1,12999,66000,0.5348
"57",119605,"National University","CA",0.4267,0.5733,0.3949,0.1041,0.2633,0.1062,0.0068,0.0181,0.0455,0.4455240852,0.4183040331,"La Jolla","92037-1011",2,0.4092,4,3,1,13403.5,56400,0.1923
"100",448451,"ITT Technical Institute-Clovis","CA",0.7418,0.2582,0.2835,0.0684,0.4557,0.0481,0.0304,0,0.0278,0.4972857507,0.2337406569,"Clovis","93612",3,0.795,3,2,1,13566,42800,0
"104",450526,"Argosy University-Inland Empire","CA",0.2779,0.7221,0.1362,0.3433,0.4169,0.0218,0.0027,0.0109,0.0054,0.5099347495,0.1975711015,"Ontario","91761",3,0.7597,4,3,1,10000,41300,0
"40",114813,"Fresno Pacific University","CA",0.3121,0.6879,0.3681,0.0541,0.4184,0.0388,0.0104,0.0069,0.02,0.4746932515,0.2896379526,"Fresno","93702-4709",2,0.6761,4,3,1,16500,41300,0.4898
"81",123961,"University of Southern California","CA",0.4945,0.5055,0.3644,0.0436,0.1353,0.225,0.0013,0.0017,0.0508,0.2332909784,0.0118962646,"Los Angeles","90089",2,0.3729,4,3,1,21062,81300,0.757
"76",122931,"Santa Clara University","CA",0.5041,0.4959,0.4841,0.0316,0.1718,0.1504,0.0013,0.0024,0.0676,0.1871244635,0.0165016502,"Santa Clara","95053",2,0.3672,4,3,1,19500,79500,0.7795
"75",122843,"Westwood College-Los Angeles","CA",0.4506,0.5494,0.2789,0.1812,0.2291,0.0237,0.0053,0.003,0.0373,0.5443583118,0.1835522201,"Los Angeles","90010",3,0.8424,4,3,1,14462,33400,0.3317
"62",120883,"University of the Pacific","CA",0.4842,0.5158,0.2985,0.025,0.1817,0.3306,0.0058,0.006,0.0466,0.3497723824,0.0390309556,"Stockton","95211-0197",2,0.592,4,3,1,20723.5,80600,0.4292
"72",122612,"University of San Francisco","CA",0.3778,0.6222,0.2927,0.0307,0.1956,0.1984,0.0031,0.0059,0.0663,0.2883172562,0.0322260783,"San Francisco","94117-1080",2,0.4776,4,3,1,21500,70600,0.61
"58",119775,"Newschool of Architecture and Design","CA",0.7306,0.2694,0.2528,0.0222,0.3778,0.0972,0,0,0.0389,0.5140186916,0.106870229,"San Diego","92101",3,0.6747,4,3,1,28500,47100,0
"7",110413,"California Lutheran University","CA",0.4437,0.5563,0.5098,0.0432,0.2547,0.0657,0.0114,0.0057,0.0272,0.304099142,0.045178106,"Thousand Oaks","91360-2787",2,0.5765,4,3,1,19000,55500,0.583
"45",116475,"ITT Technical Institute-San Dimas","CA",0.7677,0.2323,0.2069,0.0544,0.5789,0.0853,0.0018,0.0018,0.0254,0.4972857507,0.2337406569,"San Dimas","91773",3,0.8052,3,2,1,13566,42800,0.3333
"87",398130,"Mt Sierra College","CA",0.7097,0.2903,0.172,0.0581,0.443,0.0946,0.0043,0.0194,0.071,0.4777777778,0.1308016878,"Monrovia","91016",3,0.8439,3,3,1,23730,46400,0
"8",110422,"California Polytechnic State University-San Luis Obispo","CA",0.5409,0.4591,0.5872,0.007,0.1516,0.1185,0.0016,0.002,0.0703,0.2634491919,0.0111754967,"San Luis Obispo","93407",1,0.3391,4,3,1,16500,67400,0.3614
"51",117928,"Argosy University-The Art Institute of California-San Francisco","CA",0.5361,0.4639,0.1473,0.0703,0.2947,0.0922,0.0029,0.0133,0.076,0.5099347495,0.1975711015,"San Francisco","94102-4908",3,0.8221,4,3,1,10000,41300,0.213
